"Week","Winner.tie","X","Loser.tie","PtsW","PtsL","YdsW","TOW","YdsL","TOL"
"","","","",NA,NA,NA,NA,NA,NA
"1","BUF","@","LA",31,10,413,4,243,3
"1","NO","@","ATL",27,26,385,1,416,2
"1","CLE","@","CAR",26,24,355,0,261,1
"1","CHI","","SF",19,10,204,1,331,2
"1","PIT","@","CIN",23,20,267,0,432,5
"1","HOU","","IND",20,20,299,1,517,2
"1","PHI","@","DET",38,35,455,0,386,1
"1","WAS","","JAX",28,22,390,3,383,1
"1","MIA","","NE",20,7,307,0,271,3
"1","BAL","@","NYJ",24,9,274,1,380,2
"1","KC","@","ARI",44,21,488,1,282,0
"1","MIN","","GB",23,7,395,0,338,2
"1","NYG","@","TEN",21,20,394,2,359,1
"1","LAC","","LV",24,19,355,0,320,3
"1","TB","@","DAL",19,3,347,1,244,1
"1","SEA","","DEN",17,16,253,1,433,2
"2","KC","","LAC",27,24,319,0,401,1
"2","NYG","","CAR",19,16,265,0,275,2
"2","NYJ","@","CLE",31,30,402,1,405,1
"2","JAX","","IND",24,0,331,0,218,3
"2","DET","","WAS",36,27,425,0,396,1
"2","MIA","@","BAL",42,38,547,2,473,0
"2","TB","@","NO",20,10,260,1,308,5
"2","NE","@","PIT",17,14,376,1,243,2
"2","LA","","ATL",31,27,337,3,261,3
"2","SF","","SEA",27,7,373,0,216,3
"2","DAL","","CIN",20,17,337,1,254,0
"2","ARI","@","LV",29,23,413,1,324,1
"2","DEN","","HOU",16,9,350,1,234,0
"2","GB","","CHI",27,10,414,1,228,1
"2","BUF","","TEN",41,7,414,0,187,4
"2","PHI","","MIN",24,7,486,1,264,3
"3","CLE","","PIT",29,17,376,0,308,1
"3","MIA","","BUF",21,19,212,0,497,1
"3","CAR","","NO",22,14,293,0,426,3
"3","CHI","","HOU",23,20,363,2,329,2
"3","CIN","@","NYJ",27,12,330,1,328,4
"3","IND","","KC",20,17,259,1,315,2
"3","MIN","","DET",28,24,373,1,416,1
"3","BAL","@","NE",37,26,394,2,447,4
"3","TEN","","LV",24,22,361,1,396,1
"3","PHI","@","WAS",24,8,400,0,240,1
"3","JAX","@","LAC",38,10,413,0,312,2
"3","ATL","@","SEA",27,23,386,2,420,1
"3","LA","@","ARI",20,12,339,1,365,0
"3","GB","@","TB",14,12,315,2,285,2
"3","DEN","","SF",11,10,261,0,267,3
"3","DAL","@","NYG",23,16,391,0,336,1
"4","CIN","","MIA",27,15,371,0,378,2
"4","MIN","@","NO",28,25,344,1,338,2
"4","ATL","","CLE",23,20,333,1,403,2
"4","BUF","@","BAL",23,20,326,2,296,2
"4","NYG","","CHI",20,12,333,2,304,3
"4","TEN","@","IND",24,17,243,0,365,3
"4","DAL","","WAS",25,10,279,0,297,2
"4","SEA","@","DET",48,45,555,1,520,2
"4","LAC","@","HOU",34,24,419,1,346,2
"4","PHI","","JAX",29,21,401,1,219,5
"4","NYJ","@","PIT",24,20,348,2,297,4
"4","ARI","@","CAR",26,16,338,1,220,3
"4","LV","","DEN",32,23,385,0,299,1
"4","GB","","NE",27,24,443,2,271,1
"4","KC","@","TB",41,31,417,1,376,2
"4","SF","","LA",24,9,327,0,257,2
"5","IND","@","DEN",12,9,306,2,375,2
"5","NYG","@","GB",27,22,338,0,301,0
"5","TB","","ATL",21,15,420,0,261,0
"5","BUF","","PIT",38,3,552,2,364,2
"5","MIN","","CHI",29,22,429,1,271,1
"5","LAC","@","CLE",30,28,465,0,443,1
"5","NE","","DET",29,0,364,1,312,2
"5","HOU","@","JAX",13,6,248,0,422,2
"5","NYJ","","MIA",40,17,322,0,295,2
"5","NO","","SEA",39,32,438,2,396,1
"5","TEN","@","WAS",21,17,241,0,385,1
"5","SF","@","CAR",37,15,397,1,308,1
"5","PHI","@","ARI",20,17,357,0,363,1
"5","DAL","@","LA",22,10,239,0,323,3
"5","BAL","","CIN",19,17,325,1,291,1
"5","KC","","LV",30,29,368,0,378,0
"6","WAS","@","CHI",12,7,214,0,391,2
"6","ATL","","SF",28,14,289,0,346,3
"6","CIN","@","NO",30,26,348,1,399,0
"6","NE","@","CLE",38,15,399,1,328,4
"6","IND","","JAX",34,27,434,0,379,1
"6","NYJ","@","GB",27,10,278,0,278,1
"6","MIN","@","MIA",24,16,234,0,458,3
"6","NYG","","BAL",24,20,238,1,406,2
"6","PIT","","TB",20,18,270,0,304,0
"6","LA","","CAR",24,10,360,1,203,1
"6","SEA","","ARI",19,9,296,1,315,2
"6","BUF","@","KC",24,20,443,1,387,2
"6","PHI","","DAL",26,17,268,0,315,3
"6","LAC","","DEN",19,16,297,1,258,1
"7","ARI","","NO",42,34,326,0,494,3
"7","CIN","","ATL",35,17,537,0,214,0
"7","CAR","","TB",21,3,343,0,322,0
"7","BAL","","CLE",23,20,254,1,336,2
"7","TEN","","IND",19,10,254,1,292,3
"7","DAL","","DET",24,6,330,1,312,5
"7","WAS","","GB",23,21,364,1,232,1
"7","NYG","@","JAX",23,17,436,0,452,1
"7","LV","","HOU",38,20,400,0,404,1
"7","NYJ","@","DEN",16,9,260,0,324,1
"7","KC","@","SF",44,23,529,2,444,3
"7","SEA","@","LAC",37,23,404,2,329,2
"7","MIA","","PIT",16,10,372,0,341,3
"7","CHI","@","NE",33,14,390,1,260,4
"8","BAL","@","TB",27,22,453,0,349,1
"8","DEN","@","JAX",21,17,331,1,305,2
"8","MIA","@","DET",31,27,476,1,393,0
"8","PHI","","PIT",35,13,401,0,302,2
"8","ATL","","CAR",37,34,406,2,478,1
"8","DAL","","CHI",49,29,442,1,371,1
"8","MIN","","ARI",34,26,381,1,375,3
"8","NO","","LV",24,0,367,0,183,1
"8","NE","@","NYJ",22,17,288,1,387,3
"8","TEN","@","HOU",17,10,354,2,161,1
"8","SF","@","LA",31,14,368,0,223,0
"8","WAS","@","IND",17,16,362,1,324,2
"8","SEA","","NYG",27,13,277,1,225,2
"8","BUF","","GB",27,17,369,2,398,1
"8","CLE","","CIN",32,13,440,2,229,2
"9","PHI","@","HOU",29,17,360,1,303,2
"9","NYJ","","BUF",20,17,310,1,317,2
"9","DET","","GB",15,9,254,1,389,3
"9","MIN","@","WAS",20,17,301,1,263,1
"9","LAC","@","ATL",20,17,336,2,315,2
"9","CIN","","CAR",42,21,464,0,228,3
"9","MIA","@","CHI",35,32,379,0,368,0
"9","NE","","IND",26,3,203,1,121,1
"9","JAX","","LV",27,20,403,1,321,1
"9","SEA","@","ARI",31,21,421,1,262,1
"9","TB","","LA",16,13,323,0,206,0
"9","KC","","TEN",20,17,499,1,229,0
"9","BAL","@","NO",27,13,319,0,243,1
"10","CAR","","ATL",25,15,333,0,291,1
"10","TB","","SEA",21,16,419,2,283,1
"10","MIN","@","BUF",33,30,481,2,486,4
"10","MIA","","CLE",39,17,491,0,297,1
"10","TEN","","DEN",17,10,307,1,313,1
"10","NYG","","HOU",24,16,367,0,387,2
"10","DET","@","CHI",31,30,323,0,408,1
"10","KC","","JAX",27,17,486,3,315,0
"10","PIT","","NO",20,10,379,0,186,2
"10","IND","@","LV",25,20,415,1,309,0
"10","GB","","DAL",31,28,415,2,421,2
"10","ARI","@","LA",27,17,298,0,256,2
"10","SF","","LAC",22,16,387,1,238,1
"10","WAS","@","PHI",32,21,330,2,264,4
"11","TEN","@","GB",27,17,408,1,271,0
"11","BUF","","CLE",31,23,357,0,396,1
"11","DET","@","NYG",31,18,325,0,413,3
"11","WAS","@","HOU",23,10,344,0,148,2
"11","NE","","NYJ",10,3,297,0,103,0
"11","ATL","","CHI",27,24,280,2,288,1
"11","BAL","","CAR",13,3,308,1,205,3
"11","PHI","@","IND",17,16,314,2,284,1
"11","NO","","LA",27,20,323,0,336,0
"11","LV","@","DEN",22,16,407,0,320,0
"11","CIN","@","PIT",37,30,408,2,351,0
"11","DAL","@","MIN",40,3,458,0,183,1
"11","KC","@","LAC",30,27,485,1,365,2
"11","SF","@","ARI",38,10,387,0,314,2
"12","BUF","@","DET",28,25,401,1,326,2
"12","DAL","","NYG",28,20,430,2,300,0
"12","MIN","","NE",33,26,358,1,409,0
"12","CIN","@","TEN",20,16,374,0,344,0
"12","CLE","","TB",23,17,367,1,325,0
"12","MIA","","HOU",30,15,339,1,210,3
"12","JAX","","BAL",28,27,332,1,415,2
"12","WAS","","ATL",19,13,314,1,332,1
"12","CAR","","DEN",23,10,349,1,246,2
"12","NYJ","","CHI",31,10,466,0,292,1
"12","LV","@","SEA",40,34,576,2,372,2
"12","LAC","@","ARI",25,24,311,0,366,2
"12","KC","","LA",26,10,437,2,198,2
"12","SF","","NO",13,0,317,0,260,2
"12","PHI","","GB",40,33,500,1,342,2
"12","PIT","@","IND",24,17,323,0,290,2
"13","BUF","@","NE",24,10,355,1,242,0
"13","CLE","@","HOU",27,14,304,2,283,4
"13","BAL","","DEN",10,9,285,2,272,0
"13","DET","","JAX",40,14,437,0,266,1
"13","MIN","","NYJ",27,22,287,0,486,2
"13","WAS","@","NYG",20,20,411,1,316,1
"13","PHI","","TEN",35,10,453,0,209,0
"13","PIT","@","ATL",19,16,351,0,306,1
"13","GB","@","CHI",28,19,357,0,409,3
"13","SF","","MIA",33,17,351,1,308,4
"13","SEA","@","LA",27,23,438,2,319,2
"13","CIN","","KC",27,24,431,0,349,1
"13","LV","","LAC",27,20,404,2,386,1
"13","DAL","","IND",54,19,385,1,309,5
"13","TB","","NO",17,16,350,2,298,0
"14","LA","","LV",17,16,282,1,302,2
"14","BUF","","NYJ",20,12,232,0,309,2
"14","CIN","","CLE",23,10,363,1,344,1
"14","DAL","","HOU",27,23,404,3,327,2
"14","DET","","MIN",34,23,464,0,416,2
"14","JAX","@","TEN",36,22,428,0,364,4
"14","PHI","@","NYG",48,22,437,0,304,1
"14","BAL","@","PIT",16,14,309,0,329,3
"14","KC","@","DEN",34,28,431,3,320,2
"14","CAR","@","SEA",30,24,328,0,287,2
"14","SF","","TB",35,7,404,1,322,3
"14","LAC","","MIA",23,17,432,0,219,0
"14","NE","@","ARI",27,13,328,1,323,2
"15","SF","@","SEA",21,13,381,0,277,1
"15","MIN","","IND",39,36,518,3,341,1
"15","CLE","","BAL",13,3,283,0,324,2
"15","BUF","","MIA",32,29,446,1,405,0
"15","NO","","ATL",21,18,348,1,320,1
"15","PIT","@","CAR",24,16,325,0,209,0
"15","PHI","@","CHI",25,20,421,3,248,1
"15","JAX","","DAL",40,34,503,3,397,2
"15","DET","@","NYJ",20,17,359,0,337,1
"15","KC","@","HOU",30,24,502,2,219,1
"15","DEN","","ARI",24,15,324,2,240,3
"15","CIN","@","TB",34,23,237,1,396,4
"15","LAC","","TEN",17,14,365,2,284,1
"15","NYG","@","WAS",20,12,288,0,387,2
"15","LV","","NE",30,24,308,1,318,1
"15","GB","","LA",24,12,345,2,156,1
"16","JAX","@","NYJ",19,3,365,1,227,2
"16","BAL","","ATL",17,9,299,0,327,1
"16","BUF","@","CHI",35,13,426,3,209,2
"16","CAR","","DET",37,23,570,0,381,1
"16","CIN","@","NE",22,18,442,3,285,1
"16","NO","@","CLE",17,10,244,1,249,1
"16","HOU","@","TEN",19,14,285,1,272,3
"16","KC","","SEA",24,10,297,0,333,1
"16","MIN","","NYG",27,24,353,0,445,2
"16","SF","","WAS",37,20,371,1,349,2
"16","DAL","","PHI",40,34,419,1,442,4
"16","PIT","","LV",13,10,350,1,201,3
"16","GB","@","MIA",26,20,301,1,376,4
"16","LA","","DEN",51,14,388,0,323,4
"16","TB","@","ARI",19,16,396,2,325,3
"16","LAC","@","IND",20,3,314,2,173,3
"17","DAL","@","TEN",27,13,361,3,317,2
"17","ATL","","ARI",20,19,298,1,339,0
"17","TB","","CAR",30,24,478,1,400,3
"17","DET","","CHI",41,10,504,0,230,2
"17","CLE","@","WAS",24,10,301,0,260,3
"17","NYG","","IND",38,10,394,1,252,1
"17","KC","","DEN",27,24,374,2,307,2
"17","JAX","@","HOU",31,3,337,2,277,1
"17","NE","","MIA",23,21,249,0,333,2
"17","NO","@","PHI",20,10,313,1,313,1
"17","SEA","","NYJ",23,6,346,0,279,3
"17","SF","@","LV",37,34,454,1,500,2
"17","GB","","MIN",41,17,315,0,346,4
"17","LAC","","LA",31,10,431,0,277,1
"17","PIT","@","BAL",16,13,351,0,240,1
"18","KC","@","LV",31,13,349,0,279,2
"18","JAX","","TEN",20,16,222,1,312,2
"18","BUF","","NE",35,23,327,3,341,3
"18","CIN","","BAL",27,16,257,1,386,4
"18","ATL","","TB",30,17,382,1,222,1
"18","CAR","@","NO",10,7,203,2,304,1
"18","MIN","@","CHI",29,13,482,2,259,2
"18","PIT","","CLE",28,14,333,1,307,2
"18","HOU","@","IND",32,31,360,3,398,3
"18","MIA","","NYJ",11,6,302,0,187,0
"18","SF","","ARI",38,13,311,0,255,4
"18","WAS","","DAL",26,6,309,1,182,2
"18","DEN","","LAC",31,28,471,2,352,2
"18","PHI","","NYG",22,16,342,1,284,0
"18","SEA","","LA",19,16,402,2,269,1
"18","DET","@","GB",20,16,323,0,291,2
"","","","",NA,NA,NA,NA,NA,NA
"WildCard","SF","","SEA",41,23,505,0,332,2
"WildCard","JAX","","LAC",31,30,390,5,320,0
"WildCard","BUF","","MIA",34,31,423,3,231,2
"WildCard","NYG","@","MIN",31,24,431,0,332,0
"WildCard","CIN","","BAL",24,17,234,1,364,2
"WildCard","DAL","@","TB",31,14,425,0,386,1
"Division","KC","","JAX",27,20,362,0,349,2
"Division","PHI","","NYG",38,7,416,0,227,1
"Division","CIN","@","BUF",27,10,412,0,325,1
"Division","SF","","DAL",19,12,312,1,282,2
"ConfChamp","PHI","","SF",31,7,269,0,164,3
"ConfChamp","KC","","CIN",23,20,357,1,309,2
"SuperBowl","KC","N","PHI",38,35,340,0,417,1
